,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
441,10.817,4.189,1.038,3.877
442,10.661,3.08,1.035,3.874
443,10.505,2.997,1.033,5.259
444,10.351,3.103,1.03,4.381
445,10.198,2.846,1.027,4.059
446,10.046,3.461,1.025,3.241
447,9.894,2.699,1.022,3.398
448,9.744,3.247,1.019,3.262
449,9.594,2.301,1.017,3.931
450,9.445,2.304,1.014,4.027
451,9.298,4.452,1.012,3.577
452,9.151,5.037,1.009,3.903
453,9.005,4.457,1.007,3.056
454,8.86,5.264,1.004,3.421
455,8.715,4.636,1.002,3.581
456,8.573,4.113,0.999,2.947
457,8.432,3.955,0.997,3.172
458,8.292,3.331,0.994,5.007
459,8.153,3.909,0.992,4.433
460,8.015,3.465,0.99,3.64
461,7.88,3.686,0.988,3.104
462,7.746,4.888,0.985,2.639
463,7.613,4.536,0.983,3.406
464,7.48,4.011,0.981,3.985
465,7.35,3.801,0.979,3.67
466,7.219,3.245,0.976,4.225
467,7.091,3.255,0.974,3.146
468,6.963,2.586,0.972,3.988
469,6.837,4.66,0.97,3.684
470,6.714,5.746,0.968,4.377
471,6.592,3.309,0.966,3.724
472,6.471,3.032,0.964,3.305
473,6.353,2.951,0.962,3.579
474,6.237,3.898,0.96,3.833
475,6.123,4.057,0.958,4.114
476,6.011,3.436,0.956,3.642
477,5.901,3.646,0.954,3.373
478,5.793,3.326,0.952,4.005
479,5.689,3.381,0.951,4.54
480,5.589,3.042,0.949,3.276
481,5.491,3.233,0.947,3.246
482,5.392,4.111,0.945,3.462
483,5.296,4.66,0.944,5.233
484,5.202,3.68,0.942,4.628
485,5.109,3.729,0.94,2.999
486,5.017,4.235,0.938,2.669
487,4.927,2.847,0.937,2.96
488,4.838,3.53,0.935,4.743
489,4.751,3.071,0.934,3.575
490,4.665,4.285,0.932,2.377
491,4.58,2.978,0.931,3.353
492,4.496,3.168,0.929,4.322
493,4.413,2.874,0.928,4.23
494,4.332,4.141,0.926,3.051
495,4.252,3.764,0.925,3.146
496,4.173,3.425,0.923,3.068
497,4.095,3.187,0.922,3.209
498,4.019,3.587,0.921,3.281
499,3.944,3.216,0.919,2.918
500,3.87,3.11,0.918,3.24
501,3.798,3.059,0.917,4.296
502,3.728,4.927,0.915,2.924
503,3.658,3.47,0.914,4.3
504,3.59,3.182,0.913,4.688
505,3.523,2.794,0.912,3.344
506,3.458,2.718,0.91,3.191
507,3.394,2.497,0.909,2.924
508,3.331,4.217,0.908,2.525
509,3.27,2.994,0.907,3.282
510,3.21,3.542,0.906,4.408
511,3.151,3.566,0.905,3.133
512,3.093,3.138,0.904,3.562
513,3.035,3.718,0.903,3.274
514,2.98,3.125,0.902,3.922
515,2.925,2.77,0.901,4.03
516,2.871,3.773,0.9,4.362
517,2.819,3.217,0.899,4.21
518,2.767,2.666,0.898,4.247
519,2.717,2.62,0.897,3.126
520,2.668,3.121,0.896,2.956
521,2.621,3.473,0.895,3.038
522,2.575,2.602,0.894,3.969
523,2.53,3.214,0.893,3.154
524,2.486,3.284,0.892,4.105
525,2.443,2.817,0.892,3.052
526,2.401,3.099,0.891,3.494
527,2.36,2.547,0.89,3.256
528,2.319,3.07,0.889,3.998
529,2.28,3.055,0.888,2.968
530,2.242,2.485,0.888,3.104
531,2.205,3.467,0.887,3.027
532,2.17,2.724,0.886,2.595
533,2.135,3.845,0.886,3.218
534,2.101,2.179,0.885,3.202
