# #stocks, #noise, #price, #walk, #kn, #action,#timestep
6709,-182,-0.627,2468,2177,buy,566
6524,-43,-0.085,2286,1992,buy,567
6474,-73,-0.079,2243,1942,buy,568
6397,48,-0.07,2170,1865,sell,569
6446,109,-0.452,2218,1914,sell,570
6558,-48,-0.509,2327,2026,buy,571
6500,-7,-0.082,2279,1968,buy,572
6493,-47,-0.081,2272,1961,buy,573
6443,-101,-0.075,2225,1911,buy,574
6336,-121,-0.064,2124,1804,buy,575
6205,-69,-0.051,2003,1673,buy,576
6135,-60,-0.043,1934,1603,buy,577
6061,-53,-0.037,1874,1529,buy,578
6004,76,-0.032,1821,1472,sell,579
6082,1,-0.31,1897,1550,sell,580
6085,-7,-0.311,1898,1553,buy,581
6071,-97,-0.038,1891,1539,buy,582
5969,92,-0.029,1794,1437,sell,583
6063,57,-0.301,1886,1531,sell,584
6120,-95,-0.328,1943,1588,buy,585
6015,130,-0.033,1848,1483,sell,586
6146,-166,-0.337,1978,1614,buy,587
5969,-123,-0.029,1812,1437,buy,588
5838,214,-0.018,1689,1306,sell,589
6053,133,-0.305,1903,1521,sell,590
6186,-33,-0.348,2036,1654,buy,591
6145,-39,-0.044,2003,1613,buy,592
6096,155,-0.04,1964,1564,sell,593
6252,50,-0.372,2119,1720,sell,594
6302,187,-0.391,2169,1770,sell,595
6491,-178,-0.471,2356,1959,buy,596
6304,-16,-0.06,2178,1772,buy,597
6285,19,-0.058,2162,1753,sell,598
6304,141,-0.392,2181,1772,sell,599
6446,-7,-0.452,2322,1914,buy,600
6435,-46,-0.074,2315,1903,buy,601
6381,-146,-0.069,2269,1849,buy,602
6234,-102,-0.053,2123,1702,buy,603
6123,89,-0.042,2021,1591,sell,604
6213,33,-0.357,2110,1681,sell,605
6249,139,-0.371,2143,1717,sell,606
6388,243,-0.426,2282,1856,sell,607
6631,67,-0.553,2525,2099,sell,608
6698,-223,-0.615,2592,2166,buy,609
6474,-139,-0.079,2369,1942,buy,610
6330,1,-0.063,2230,1798,sell,611
6331,-16,-0.085,2231,1799,buy,612
6304,132,-0.06,2215,1772,sell,613
6436,298,-0.447,2347,1904,sell,614
6734,76,-0.653,2645,2202,sell,615
6812,-132,-0.749,2721,2280,buy,616
6680,-144,-0.104,2589,2148,buy,617
6535,-76,-0.086,2445,2003,buy,618
6452,-61,-0.076,2369,1920,buy,619
6381,-157,-0.069,2308,1849,buy,620
6219,52,-0.052,2151,1687,sell,621
6272,-4,-0.379,2203,1740,buy,622
6260,-125,-0.056,2199,1728,buy,623
6135,19,-0.043,2074,1603,sell,624
6157,-160,-0.072,2093,1625,buy,625
5992,90,-0.031,1933,1460,sell,626
6083,-13,-0.311,2023,1551,buy,627
6069,156,-0.038,2010,1537,sell,628
6226,-118,-0.362,2166,1694,buy,629
6096,91,-0.04,2048,1564,sell,630
6188,-197,-0.349,2139,1656,buy,631
5983,-5,-0.03,1942,1451,buy,632
5969,22,-0.029,1937,1437,sell,633
5992,-47,-0.052,1959,1460,buy,634
5942,-47,-0.027,1912,1410,buy,635
5886,-198,-0.022,1865,1354,buy,636
5687,120,-0.007,1667,1155,sell,637
5809,-46,-0.054,1787,1277,buy,638
5762,-47,-0.026,1741,1230,buy,639
5707,-89,-0.013,1694,1175,buy,640
5611,224,-0.002,1605,1079,sell,641
5835,77,-0.233,1829,1303,sell,642
5913,-37,-0.256,1906,1381,buy,643
5873,20,-0.023,1869,1341,sell,644
5894,-205,-0.04,1889,1362,buy,645
5688,37,-0.008,1684,1156,sell,646
5728,146,-0.025,1721,1196,sell,647
5876,-97,-0.247,1867,1344,buy,648
5765,234,-0.014,1770,1233,sell,649
5999,-28,-0.29,2004,1467,buy,650
5964,143,-0.032,1976,1432,sell,651
6107,-131,-0.325,2119,1575,buy,652
5969,-118,-0.029,1988,1437,buy,653
5838,-20,-0.018,1870,1306,buy,654
5808,22,-0.016,1850,1276,sell,655
5833,94,-0.03,1872,1301,sell,656
5928,142,-0.255,1966,1396,sell,657
6070,-50,-0.312,2108,1538,buy,658
6017,-11,-0.035,2058,1485,buy,659
6006,-45,-0.034,2047,1474,buy,660
5957,-111,-0.029,2002,1425,buy,661
5838,-26,-0.018,1891,1306,buy,662
5808,-155,-0.016,1865,1276,buy,663
5644,104,-0.004,1710,1112,sell,664
5759,-31,-0.039,1814,1227,buy,665
5728,95,-0.021,1783,1196,sell,666
5827,-152,-0.224,1878,1295,buy,667
5659,-22,-0.006,1726,1127,buy,668
5629,37,-0.003,1704,1097,sell,669
5666,27,-0.017,1741,1134,sell,670
5693,46,-0.024,1768,1161,sell,671
5745,135,-0.038,1814,1213,sell,672
5882,-63,-0.248,1949,1350,buy,673
5818,101,-0.018,1886,1286,sell,674
